time_s,acc_DOF3_mps2,acc_DOF4_mps2,acc_DOF5_mps2,acc_DOF6_mps2
1.71,-0.00404142,-0.00462916,-0.00880605,-0.00982185
1.715,-0.00426601,-0.00369014,-0.00591586,-0.00894383
1.72,-0.00230596,-0.0055174,-0.00650728,-0.00986166
1.725,-0.00335569,-0.00505276,-0.00690877,-0.00670071
1.73,-0.00254445,-0.00226593,-0.00434531,-0.00615476
1.735,0.0004736,-0.00217348,-0.00475858,-0.00594917
1.74,0.00075623,-0.00292559,-0.00235718,-0.00492272
1.745,0.00132997,-0.00092272,-0.00343537,-0.0025055
1.75,0.0008392,-0.00037921,-0.00282668,-0.00452091
1.755,0.00122394,-0.00114716,-0.00231446,-0.0035214
1.76,0.00026754,3.5e-06,-0.00197819,-0.0060116
1.765,-0.00085112,-0.0020892,-0.00427818,-0.00537349
1.77,-0.00043985,-0.00236566,-0.00601841,-0.00700842
1.775,-0.0023658,-0.00466559,-0.00505574,-0.00777636
1.78,-0.00445243,-0.00706715,-0.00793308,-0.00823166
1.785,-0.00623817,-0.0093844,-0.008616,-0.01081976
1.79,-0.00849305,-0.0100791,-0.01226506,-0.01193323
1.795,-0.01203645,-0.01317891,-0.01521335,-0.0164152
1.8,-0.0114604,-0.01520442,-0.01651778,-0.01497122
1.805,-0.01760769,-0.0158974,-0.01779713,-0.01876933
1.81,-0.01807158,-0.01924177,-0.0182194,-0.01911328
1.815,-0.01962996,-0.02122385,-0.02100014,-0.02227002
1.82,-0.02158847,-0.02183228,-0.02269151,-0.02261885
1.825,-0.0220026,-0.02323767,-0.02087624,-0.02435657
1.83,-0.02137281,-0.02175458,-0.02258743,-0.02219391
1.835,-0.02194733,-0.02217632,-0.02128731,-0.02084763
1.84,-0.02211938,-0.02260976,-0.02085135,-0.01978046
1.845,-0.02021463,-0.02123652,-0.01752917,-0.02070783
1.85,-0.01817206,-0.02028423,-0.01868355,-0.01558968
1.855,-0.01696986,-0.01651496,-0.01616402,-0.01511701
1.86,-0.01891092,-0.01773868,-0.01531274,-0.0130051
1.865,-0.01543834,-0.01413706,-0.01208709,-0.01026678
1.87,-0.01476454,-0.01553186,-0.01075792,-0.01003458
1.875,-0.01399086,-0.01180448,-0.01143717,-0.0082827
1.88,-0.01375163,-0.012936,-0.00935751,-0.0049916
1.885,-0.01108957,-0.00861041,-0.00742571,-0.00461634
1.89,-0.01211637,-0.00901426,-0.00699337,-0.00512899
1.895,-0.00921834,-0.00691283,-0.00471545,-0.00271972
1.9,-0.00780917,-0.00634945,-0.00385282,-0.00228088
1.905,-0.00717404,-0.00515191,-0.00429123,-0.00149027
1.91,-0.00586105,-0.00606452,-0.00285246,0.0009924
1.915,-0.005429,-0.00294102,-0.00101138,0.00039808
1.92,-0.00699357,-0.00098343,4.647e-05,0.00067182
1.925,-0.00412651,-0.00272559,3.432e-05,0.00298444
1.93,-0.00390693,0.00081547,0.00076439,0.00282826
1.935,-0.00089591,-0.00115459,0.0022443,0.00633208
1.94,-0.00080782,0.00135127,0.00259637,0.0042505
1.945,6.177e-05,0.00453798,0.00515241,0.00669177
1.95,0.00212906,0.00431793,0.00493071,0.00707766
1.955,0.00244395,0.00482442,0.00524119,0.00664971
1.96,0.00270525,0.00564913,0.00592457,0.00946224
1.965,0.00305001,0.00575104,0.00628873,0.00987709
1.97,0.0032003,0.00445224,0.00817547,0.0099636
1.975,0.0057949,0.00689943,0.0087511,0.00998175
1.98,0.00528293,0.00812499,0.00810126,0.00875624
1.985,0.0062053,0.00751598,0.00865692,0.00891344
1.99,0.00500031,0.00784571,0.00719219,0.00967801
1.995,0.00265593,0.00470171,0.00809811,0.00908318
2.0,0.00304384,0.00393949,0.00575459,0.00982316
2.005,0.00285337,0.00528925,0.00646487,0.00740678
2.01,0.00272186,0.003579,0.00648097,0.00666799
2.015,0.00161092,0.00409304,0.00494711,0.00657876
2.02,0.00097848,0.00167287,0.0026529,0.00453984
2.025,0.00102029,0.00305046,0.00501309,0.00660845
2.03,0.00312012,0.00298222,0.00739102,0.00645013
2.035,0.00290591,0.00495119,0.00660193,0.00769219
2.04,0.00425029,0.00782941,0.00595523,0.00891829
2.045,0.00720535,0.00781204,0.00805272,0.00991637
2.05,0.00928676,0.00977896,0.01021946,0.00942568
2.055,0.01079224,0.00978077,0.01375573,0.01248027
2.06,0.01389368,0.01484778,0.0146238,0.01490756
2.065,0.01695123,0.01571617,0.01632608,0.01645982
2.07,0.0164152,0.01799773,0.01831396,0.01590769
2.075,0.01807716,0.02105238,0.02093357,0.02235334
2.08,0.01911783,0.01926415,0.02243388,0.02005137
2.085,0.02294973,0.02168471,0.02341262,0.02145865
2.09,0.02276625,0.0244627,0.02340925,0.02134057
2.095,0.0205038,0.02469764,0.02247632,0.02197494
2.1,0.02225083,0.02265605,0.02121315,0.02024507
2.105,0.02005578,0.02269738,0.02121868,0.01891165
2.11,0.02272367,0.02051358,0.01912136,0.01703985
2.115,0.02173066,0.02126706,0.01672483,0.01505936
2.12,0.01827591,0.01807661,0.01578475,0.01370606
2.125,0.01749089,0.01546731,0.01323966,0.01131987
2.13,0.01438783,0.01412953,0.01121077,0.00904818
2.135,0.01277968,0.01193843,0.00855623,0.00863426
2.14,0.01002035,0.00749592,0.00704782,0.00479607
2.145,0.00869004,0.01037222,0.00526159,0.00364255
2.15,0.00814314,0.00573754,0.00214254,0.00073748
2.155,0.00668281,0.00261978,-0.00075145,0.00026756
2.16,0.00561008,0.00316656,3.039e-05,-0.00138774
2.165,0.00262294,0.00113216,-0.00127199,-0.00200738
2.17,0.0029526,0.00031528,-0.00064032,-0.00297439
2.175,0.00244441,0.00068844,-0.00336791,-0.00505361
2.18,0.00109555,-0.00051492,-0.00179862,-0.00564197
2.185,0.00221913,0.00012299,-0.00386829,-0.00305284
2.19,0.00076233,-0.00224488,-0.0042787,-0.00503316
2.195,0.00029191,-0.00149723,-0.00607555,-0.00669392
2.2,-0.00157374,-0.00134717,-0.00480746,-0.00668286
2.205,-0.00070127,-0.00154057,-0.00380198,-0.00562185
2.21,-0.002246,-0.00372696,-0.00521008,-0.00798441
2.215,-0.00234801,-0.00403819,-0.00514651,-0.00941858
2.22,-0.0033804,-0.00475124,-0.00474853,-0.00743767
2.225,-0.00436999,-0.00628613,-0.00649295,-0.0081604
2.23,-0.00545915,-0.00612857,-0.00625622,-0.00855452
2.235,-0.00595037,-0.0082778,-0.00766818,-0.00940491
2.24,-0.00468866,-0.00599053,-0.0094327,-0.00995787
2.245,-0.00692825,-0.00934402,-0.00926519,-0.00937905
2.25,-0.00611208,-0.00775909,-0.01063076,-0.01012626
2.255,-0.00623281,-0.00774081,-0.00948033,-0.01050319
2.26,-0.00555455,-0.00721543,-0.01077133,-0.00967731
2.265,-0.00619022,-0.00723608,-0.00789841,-0.00897478
2.27,-0.00373886,-0.00724975,-0.00761831,-0.01037125
2.275,-0.00463655,-0.00810979,-0.00709753,-0.01002278
2.28,-0.00637881,-0.00593073,-0.00697703,-0.00695035
2.285,-0.00535006,-0.00693244,-0.00764292,-0.00971521
